cnt,word
68496865,Ave
39606627,Apt
12161031,Cir
11914122,Way
8732515,Box
8501801,Blvd
6533361,City
6476100,Lake
6169398,Park
5885243,Road
5540707,San
5232388,Hill
5191067,County
4812898,Creek
4812110,Saint
4653269,Beach
4500861,New
4409673,Highway
4371295,Ridge
4362465,Trl
3907727,Oak
3785238,Valley
3617910,Ter
3554272,Unit
3375028,Fort
3257992,Springs
2953061,Old
2934289,West
2833885,Main
2756428,State
2682392,River
2550292,North
2424446,Grove
2257291,Spring
2248010,Hwy
2242318,Houston
2145122,Washington
2088581,Pine
2078492,Chicago
1987788,View
1900460,Forest
1887262,Miami
1874747,Pkwy
1845171,Loop
1841603,Brooklyn
1837041,Hills
1819055,East
1808037,Point
1804579,York
1795950,Bay
1790517,Las
1765864,Mount
1743450,Falls
1736827,Mill
1687520,Route
1678352,South
1664426,Los
1641529,Rock
1635427,Cedar
1603609,Mountain
1602022,Vista
1596390,Run
1552194,Grand
1535689,Island
1519575,Vegas
1508330,Green
1464865,Santa
1424466,Meadow
1409585,Palm
1405823,Antonio
1401057,Port
1364101,Glen
1351269,Maple
1347345,Philadelphia
1347036,Heights
1342016,Oaks
1325515,Church
1313703,Angeles
1280893,Columbus
1195738,Lincoln
1191932,Madison
1176509,Avenue
1172708,Cleveland
1163246,Center
1152679,Dallas
1143629,Jackson
1098048,White
1096783,Village
1087893,Pleasant
1079096,Charlotte
1068072,Jacksonville
1053483,Walnut
1052101,Phoenix
1051336,Denver
1046712,Austin
1041353,Hollow
1018829,Willow
1008165,Louis
986557,Country
980737,Franklin
973157,Columbia
970854,Highland
963499,Springfield
963174,Worth
934869,Red
932680,Ste
932231,Portland
930877,Orlando
925954,Richmond
906954,High
902712,Arlington
897232,Canyon
894369,Elm
892376,Diego
891539,Long
888100,Brook
886931,Salem
882169,Little
859181,Haven
854658,Monroe
851318,Jefferson
846182,Tree
832876,Lauderdale
830170,Union
821273,Minneapolis
819488,Bend
818966,Atlanta
818151,Laurel
817773,Woods
815515,Blue
812696,Cincinnati
810982,Lexington
807107,Cove
806831,Lot
805343,Silver
804704,Bronx
797624,Club
793030,Farm
792583,Eagle
786861,Mesa
783483,Harbor
776200,Hickory
772520,Paul
767274,Orange
764866,Garden
753622,Wood
751378,Shore
742653,Buffalo
742352,Louisville
737601,Milwaukee
736866,Detroit
736226,Tampa
735343,Virginia
734396,Sunset
732124,Indianapolis
728825,Central
726708,Branch
726665,Via
726276,Cherry
724740,Cypress
722565,Tucson
717146,Seattle
712361,Prairie
711689,Fox
705759,Bridge
698850,Orchard
691945,Rochester
685431,Colorado
684258,Broadway
680117,Francisco
678553,Chestnut
677707,Stone
670966,Dayton
670592,Riverside
670092,Charles
664869,Ocean
659134,Hollywood
659113,Kansas
657385,King
656289,Aurora
651448,Jose
646921,Woodland
643377,Pond
643310,Summit
639307,Paso
638843,Lancaster
637141,Crest
636016,Baltimore
635293,Clinton
633872,Van
633829,Deer
628686,Pike
621747,Pittsburgh
616268,Rapids
607112,Township
596865,Oklahoma
595411,Sacramento
594136,Lee
588659,Lafayette
588395,Holly
584759,Liberty
583536,Huntington
583310,Memphis
582893,Rose
574325,Indian
572862,Chapel
565107,Bluff
564202,Royal
561263,Oakland
560530,Birmingham
560317,Magnolia
556432,Windsor
553989,Vernon
549731,Pointe
547818,Street
547031,Raleigh
546134,Manor
545017,College
543711,Hampton
535981,Henderson
530854,Wayne
530457,Harrison
526042,Wilmington
523362,Newport
520326,Station
518739,Canton
518553,Prospect
513139,Hamilton
511550,Ranch
509720,Castle
507922,Wilson
505811,Warren
504840,Meadows
502764,Montgomery
502716,Lakes
502166,Big
499974,Concord
498100,Greenville
496572,Coral
495414,School
491182,Acres
489554,Petersburg
485822,Glendale
483850,Johnson
482969,Pass
482281,Rancho
482222,Smith
476974,Marion
474382,Albany
470919,Del
470174,Auburn
470084,Orleans
468497,Adams
467868,Trail
467569,Albuquerque
467328,Hudson
464859,Arbor
464500,Taylor
464412,John
461387,Birch
461324,Cape
457829,Nashville
456406,Allen
452751,Winter
452321,Rio
451609,Salt
450251,Charleston
449836,Chester
449407,Sterling
448405,Fayetteville
447822,James
445074,Oxford
443306,Omaha
443219,Calle
442900,Golden
441747,Spruce
439692,Locust
439050,Greenwood
435526,Terrace
435121,Naples
432584,Lakeview
430144,Mile
429805,Alexandria
429621,Florence
429148,Grant
429043,Cambridge
427582,Poplar
426536,Fairfield
426016,Chase
425734,Sun
425175,Water
424428,Path
423491,Myers
420150,Ann
420095,Bedford
419628,Hidden
419479,Martin
417583,Mills
415729,Lakewood
415588,Myrtle
414470,Decatur
413697,Mission
410796,Black
410683,Linden
409870,George
409291,Shady
409199,Quail
407914,Staten
405163,Newark
404267,Fairview
403000,Rdg
402410,Manchester
401838,Hartford
400953,Sandy
400085,Anderson
399132,Rocky
398508,Augusta
397469,Fresno
397448,Ferry
394182,Evergreen
391435,Hall
391188,Cross
387628,Elizabeth
387450,Collins
387378,The
385273,Boston
384779,Circle
384476,Kings
384284,Sycamore
384106,Crystal
383754,Pines
380899,Davis
378994,Lawrence
377075,Market
374274,Camino
373866,Villa
373275,Olive
370532,Winchester
370425,Elk
370393,Tulsa
369917,Pompano
369100,Junction
367994,Providence
367739,Knoxville
366272,Thomas
365613,Twin
364930,Princeton
363359,Fremont
362735,Landing
360746,Troy
359373,Crescent
357527,Toledo
356836,Sugar
356374,Spc
356130,Chandler
355209,Bakersfield
353969,Durham
353943,House
353237,Williams
353185,Dover
352713,Timber
350755,Lebanon
350210,Littleton
349866,Independence
349183,Brighton
344381,Line
344375,Wichita
343486,Hawthorne
342190,Marietta
342065,Miller
341899,Burlington
340961,Gate
340251,Place
339177,Scottsdale
338948,Gainesville
338116,Gardens
337406,Greensboro
337337,Middletown
337101,Post
336336,Trce
335952,Sherman
334446,Trenton
334426,Rouge
334004,Hillside
333109,Trlr
333000,Clark
332199,Morgan
331557,Dogwood
331408,Bell
328468,Upper
327289,Bristol
327111,Brown
326968,Fairway
326904,Marshall
326796,Pasadena
326457,Parker
326060,Bear
325846,Hillcrest
325705,Georgetown
324462,Milford
322832,Hope
322704,Belmont
322363,Baton
322007,Reno
320751,Winston
319975,Plymouth
317507,Pearl
317113,Riverview
316933,Peoria
316212,Mary
316141,Milton
315866,Ash
315672,Gilbert
315189,Autumn
314610,Midland
313877,Summer
313055,Newton
312225,Broad
312216,Homestead
311655,Des
310398,Stockton
310177,Desert
309673,Great
309294,Heritage
308742,Beaver
308656,Beverly
308112,Fork
307421,Farmington
306716,Crossing
305850,Spokane
305361,Rolling
305113,Apple
303582,Howard
302884,Lakeland
302813,Sierra
302494,Kissimmee
301681,Douglas
301282,Savannah
300734,Boca
299999,Akron
299234,Grande
299131,Sarasota
298616,Erie
298275,Lynn
298124,Lakeside
297210,Michigan
297210,Ashland
297096,Victoria
296097,Brentwood
295681,Sheridan
295147,Town
293253,Webster
292915,Pensacola
292860,Scott
292466,Kent
291744,Clifton
290511,Edgewood
289291,Hialeah
289170,Jordan
289073,Mobile
288646,Oakwood
287991,Somerset
287766,Sherwood
287397,Bloomfield
285691,Camp
285608,Mansfield
285595,Meridian
284921,Jersey
284899,Star
283960,Katy
283920,Ridgewood
282920,Westminster
282757,Roosevelt
282354,Court
282010,University
281999,Leaf
281959,Beech
281900,Quincy
281293,Mason
281044,Atlantic
280395,Covington
280127,Corona
279991,Round
279527,Jones
279357,Chesapeake
279204,Rosa
279050,Knoll
278747,Camden
278590,Kingston
278328,Tyler
277360,Estates
277275,Plains
277213,Garfield
276942,Walk
276606,Linda
276542,Irving
275536,Bellevue
274870,Bradenton
274827,Middle
274760,Redwood
274237,Brunswick
273443,Sioux
273179,Cumberland
273056,Fountain
272888,Boulder
272494,Glenwood
271376,Wellington
270933,Tallahassee
270923,Syracuse
270544,Vancouver
270439,Wildwood
270390,Colonial
270269,Roanoke
270069,Morris
270013,Front
269709,Sunrise
269658,Raton
269554,Holland
268836,Norfolk
268476,Tacoma
268329,Perry
268179,Emerald
268135,Aspen
267018,Shadow
266017,Lansing
265166,Temple
264679,Colony
264298,Englewood
263307,Vine
263296,Clearwater
263043,Campbell
261735,Waterford
261588,Cottage
261385,Christi
259987,Pacific
259410,Huntsville
258594,Fairfax
258427,Corpus
258356,Benton
257862,Honolulu
257517,Lewis
257154,Athens
256996,Grandview
256467,Mulberry
256246,Butler
256025,Lane
255288,Carmel
255240,Fair
255200,Delaware
255175,Garland
255138,Pierce
251562,Xing
251504,Hanover
250379,Walker
249717,Fulton
249460,Reading
249190,Woodbridge
248669,Diamond
247960,del
247940,Henry
247566,Plano
247466,Ocala
247243,Lowell
245756,Lucie
245455,Belle
245389,Monte
245367,Dale
244656,Land
243800,Everett
243530,Frederick
242994,Deerfield
242992,Ford
242067,Avon
241891,Cherokee
241816,Jamaica
241458,Clayton
240772,Flint
240567,Dublin
240200,Brandon
240048,Longview
239677,Avenida
239367,Lakeshore
239120,Andrews
238447,Ivy
237735,Queen
236975,Shores
235456,Sand
234743,Ogden
234324,Elmwood
234274,Ext
234223,Mitchell
233802,Winding
233519,Sanford
